序号,文件名,虫子编号,虫子名称,中心点x坐标,中心点y坐标,左上角x坐标,左上角y坐标,右下角x坐标,右下角y坐标
60,00108.jpg,7,二化螟,2248,1184,2167,951,2330,1417
61,00108.jpg,156,八点灰灯蛾,2444,212,2195,0,2694,424
62,00108.jpg,228,二点委夜蛾,3780,1216,3659,1077,3901,1356
63,00108.jpg,256,蟋蟀,2619,1571,2361,1327,2877,1815
64,00110.jpg,0,无,,,,,,
65,00111.jpg,0,无,,,,,,
66,00112.jpg,0,无,,,,,,
67,00113.jpg,0,无,,,,,,
68,00114.jpg,0,无,,,,,,
69,00115.jpg,0,无,,,,,,
70,00116.jpg,0,无,,,,,,
71,00118.jpg,115,甜菜夜蛾,3271,2550,3033,2365,3509,2736
72,00119.jpg,0,无,,,,,,
73,00121.jpg,0,无,,,,,,
74,00123.jpg,0,无,,,,,,
75,00124.jpg,0,无,,,,,,
76,00125.jpg,0,无,,,,,,
77,00126.jpg,0,无,,,,,,
78,00127.jpg,0,无,,,,,,
79,00129.jpg,0,无,,,,,,
80,00132.jpg,0,无,,,,,,
81,00134.jpg,0,无,,,,,,
82,00135.jpg,0,无,,,,,,
83,00137.jpg,0,无,,,,,,
84,00139.jpg,0,无,,,,,,
85,00141.jpg,9,白背飞虱,1024,1988,972,1942,1076,2035
86,00143.jpg,0,无,,,,,,
87,00144.jpg,156,八点灰灯蛾,1800,218,1472,0,2128,436
88,00144.jpg,156,八点灰灯蛾,1841,1750,1447,1352,2235,2149
89,00145.jpg,0,无,,,,,,
90,00146.jpg,0,无,,,,,,
91,00147.jpg,0,无,,,,,,
92,00150.jpg,0,无,,,,,,
93,00151.jpg,10,褐飞虱属,2692,3243,2670,3194,2714,3292
94,00152.jpg,0,无,,,,,,
95,00158.jpg,9,白背飞虱,1304,1323,1245,1296,1363,1351
96,00158.jpg,10,褐飞虱属,1016,1424,970,1373,1062,1475
97,00158.jpg,148,黄足猎蝽,4145,3602,3799,3557,4491,3647
98,00158.jpg,148,黄足猎蝽,3892,3573,3633,3497,4151,3650
99,00159.jpg,0,无,,,,,,
100,00160.jpg,8,稻纵卷叶螟,4034,735,3897,586,4172,885
101,00160.jpg,156,八点灰灯蛾,3889,3323,3688,3004,4091,3642
102,00160.jpg,256,蟋蟀,1250,2299,1125,2033,1376,2566
103,00161.jpg,0,无,,,,,,
104,00162.jpg,0,无,,,,,,
105,00163.jpg,0,无,,,,,,
106,00165.jpg,10,褐飞虱属,1769,2461,1720,2437,1818,2486
107,00168.jpg,156,八点灰灯蛾,3094,760,2844,374,3345,1146
108,00168.jpg,398,甜菜白带野螟,1430,780,1248,604,1612,956
109,00169.jpg,280,黄毒蛾,4433,878,4177,613,4689,1143
110,00170.jpg,0,无,,,,,,
111,00171.jpg,0,无,,,,,,
112,00173.jpg,7,二化螟,3920,562,3643,433,4198,691
113,00173.jpg,156,八点灰灯蛾,1729,2268,1340,1806,2118,2731
114,00173.jpg,480,石蛾,1238,1065,1140,922,1337,1208
115,00174.jpg,0,无,,,,,,
116,00175.jpg,156,八点灰灯蛾,3014,1041,2520,673,3509,1409
117,00176.jpg,256,蟋蟀,2209,591,2036,397,2382,786
118,00177.jpg,0,无,,,,,,
119,00179.jpg,0,无,,,,,,
120,00180.jpg,0,无,,,,,,
121,00181.jpg,7,二化螟,2377,278,2167,59,2588,497
122,00181.jpg,485,大黑鳃金龟,3884,3521,3604,3387,4164,3656
123,00183.jpg,0,无,,,,,,
124,00186.jpg,0,无,,,,,,
125,00188.jpg,0,无,,,,,,
126,00191.jpg,0,无,,,,,,
127,00193.jpg,9,白背飞虱,1771,152,1729,106,1813,198
128,00195.jpg,398,甜菜白带野螟,4501,349,4355,188,4648,510
129,00196.jpg,0,无,,,,,,
130,00197.jpg,280,黄毒蛾,3200,276,2903,93,3498,459
131,00199.jpg,9,白背飞虱,1921,3299,1845,3239,1998,3360
132,00202.jpg,7,二化螟,3852,504,3656,239,4049,769
133,00202.jpg,9,白背飞虱,2316,3612,2264,3577,2369,3648
134,00202.jpg,41,蝼蛄,2509,3510,2143,3384,2875,3637
135,00205.jpg,0,无,,,,,,
136,00207.jpg,0,无,,,,,,
137,00208.jpg,0,无,,,,,,
138,00210.jpg,0,无,,,,,,
139,00211.jpg,0,无,,,,,,
140,00214.jpg,0,无,,,,,,
141,00215.jpg,156,八点灰灯蛾,4198,289,3710,0,4686,578
142,00217.jpg,115,甜菜夜蛾,1988,2765,1785,2559,2192,2971
143,00217.jpg,156,八点灰灯蛾,4068,2376,3583,2088,4554,2664
144,00217.jpg,156,八点灰灯蛾,4049,2904,3706,2651,4393,3157
145,00217.jpg,156,八点灰灯蛾,2482,1000,2036,692,2929,1309
146,00217.jpg,156,八点灰灯蛾,4560,2078,4166,1816,4955,2340
147,00219.jpg,0,无,,,,,,
148,00227.jpg,0,无,,,,,,
149,00228.jpg,0,无,,,,,,
150,00231.jpg,156,八点灰灯蛾,2548,1898,2101,1523,2995,2273
151,00231.jpg,156,八点灰灯蛾,2610,1110,2105,701,3116,1520
152,00232.jpg,0,无,,,,,,
153,00233.jpg,0,无,,,,,,
154,00234.jpg,0,无,,,,,,
155,00235.jpg,0,无,,,,,,
156,00236.jpg,0,无,,,,,,
157,00237.jpg,0,无,,,,,,
158,00238.jpg,0,无,,,,,,
159,00239.jpg,0,无,,,,,,
160,00240.jpg,480,石蛾,3021,1446,2920,1299,3122,1593
161,00241.jpg,0,无,,,,,,
162,00242.jpg,8,稻纵卷叶螟,2280,3456,2186,3318,2375,3594
163,00242.jpg,10,褐飞虱属,2788,1682,2755,1616,2821,1749
164,00242.jpg,156,八点灰灯蛾,3771,2603,3425,2217,4117,2990
165,00243.jpg,0,无,,,,,,
166,00245.jpg,0,无,,,,,,
167,00247.jpg,0,无,,,,,,
168,00251.jpg,9,白背飞虱,3138,1332,3083,1266,3194,1399
169,00252.jpg,0,无,,,,,,
170,00254.jpg,10,褐飞虱属,3115,3405,3088,3350,3143,3461
171,00256.jpg,0,无,,,,,,
172,00257.jpg,0,无,,,,,,
173,00259.jpg,256,蟋蟀,1766,621,1545,454,1988,789
174,00261.jpg,0,无,,,,,,
175,00262.jpg,0,无,,,,,,
176,00263.jpg,105,粘虫,2369,3221,2050,2859,2688,3584
177,00263.jpg,256,蟋蟀,2176,1176,2061,971,2292,1382
178,00265.jpg,0,无,,,,,,
179,00270.jpg,0,无,,,,,,
180,00271.jpg,0,无,,,,,,
181,00272.jpg,0,无,,,,,,
182,00273.jpg,0,无,,,,,,
183,00277.jpg,10,褐飞虱属,4064,2035,4020,1987,4108,2084
184,00278.jpg,0,无,,,,,,
185,00279.jpg,9,白背飞虱,1756,2024,1712,1966,1800,2083
186,00280.jpg,0,无,,,,,,
187,00282.jpg,7,二化螟,3273,2902,3086,2621,3461,3184
188,00282.jpg,228,二点委夜蛾,4544,1163,4350,1063,4738,1264
189,00282.jpg,280,黄毒蛾,1268,2685,1105,2513,1431,2858
190,00283.jpg,0,无,,,,,,
191,00288.jpg,105,粘虫,2940,2434,2684,2164,3197,2704
192,00292.jpg,10,褐飞虱属,2147,582,2111,521,2184,643
193,00292.jpg,228,二点委夜蛾,2442,1158,2247,931,2638,1385
194,00293.jpg,9,白背飞虱,3884,284,3843,235,3926,334
195,00293.jpg,156,八点灰灯蛾,3997,743,3584,342,4411,1144
196,00298.jpg,0,无,,,,,,
197,00299.jpg,0,无,,,,,,
198,00300.jpg,8,稻纵卷叶螟,3999,1797,3863,1679,4136,1916
199,00300.jpg,256,蟋蟀,2250,1572,1953,1325,2548,1820
200,00300.jpg,256,蟋蟀,2679,2532,2508,2337,2851,2727
201,00300.jpg,485,大黑鳃金龟,2764,3517,2472,3383,3057,3652
202,00304.jpg,0,无,,,,,,
203,00305.jpg,0,无,,,,,,
204,00306.jpg,156,八点灰灯蛾,3698,1944,3360,1563,4036,2325
205,00313.jpg,0,无,,,,,,
206,00315.jpg,0,无,,,,,,
207,00320.jpg,0,无,,,,,,
208,00323.jpg,7,二化螟,2211,1557,2066,1312,2357,1802
209,00323.jpg,7,二化螟,3708,543,3535,370,3882,717
210,00323.jpg,7,二化螟,2366,3485,2048,3335,2685,3635
211,00323.jpg,105,粘虫,1607,852,1259,517,1956,1188
212,00325.jpg,0,无,,,,,,
213,00326.jpg,156,八点灰灯蛾,4065,3244,3692,2841,4438,3647
214,00328.jpg,0,无,,,,,,
215,00331.jpg,0,无,,,,,,
216,00333.jpg,310,稻螟蛉,2247,1834,2081,1683,2414,1986
217,00334.jpg,0,无,,,,,,
218,00335.jpg,0,无,,,,,,
219,00336.jpg,0,无,,,,,,
220,00338.jpg,0,无,,,,,,
221,00339.jpg,0,无,,,,,,
222,00340.jpg,0,无,,,,,,
223,00341.jpg,0,无,,,,,,
224,00343.jpg,0,无,,,,,,
225,00344.jpg,0,无,,,,,,
226,00346.jpg,222,棉铃虫,4087,1044,3778,819,4397,1270
227,00348.jpg,0,无,,,,,,
228,00350.jpg,0,无,,,,,,
229,00351.jpg,235,甘蓝夜蛾,3173,2864,2909,2510,3438,3218
230,00356.jpg,0,无,,,,,,
231,00357.jpg,0,无,,,,,,
232,00359.jpg,0,无,,,,,,
233,00362.jpg,9,白背飞虱,4245,985,4191,939,4299,1031
234,00362.jpg,9,白背飞虱,4890,1278,4862,1220,4919,1337
235,00362.jpg,9,白背飞虱,5047,409,4998,343,5097,475
236,00362.jpg,480,石蛾,1341,1048,1258,919,1424,1178
237,00363.jpg,9,白背飞虱,2391,1431,2354,1384,2429,1479
238,00363.jpg,10,褐飞虱属,1736,861,1694,806,1779,917
239,00364.jpg,7,二化螟,2899,1881,2707,1716,3092,2047
240,00365.jpg,0,无,,,,,,
241,00366.jpg,0,无,,,,,,
242,00367.jpg,0,无,,,,,,
243,00368.jpg,0,无,,,,,,
244,00370.jpg,0,无,,,,,,
245,00371.jpg,156,八点灰灯蛾,1809,846,1353,359,2265,1333
246,00374.jpg,0,无,,,,,,
247,00378.jpg,480,石蛾,3371,660,3221,540,3521,780
248,00379.jpg,25,地老虎,1589,268,1379,13,1799,524
249,00381.jpg,0,无,,,,,,
250,00382.jpg,0,无,,,,,,
251,00383.jpg,10,褐飞虱属,2940,3133,2905,3065,2975,3202
252,00385.jpg,156,八点灰灯蛾,4254,2480,3763,2130,4746,2831
253,00385.jpg,480,石蛾,3145,1778,3056,1621,3234,1935
254,00386.jpg,0,无,,,,,,
255,00388.jpg,7,二化螟,3178,1575,2985,1417,3372,1734
256,00390.jpg,0,无,,,,,,
257,00392.jpg,0,无,,,,,,
258,00393.jpg,148,黄足猎蝽,2858,2521,2556,2352,3161,2690
259,00394.jpg,156,八点灰灯蛾,3652,87,3149,2,4156,172
260,00394.jpg,156,八点灰灯蛾,2481,1687,2046,1276,2917,2099
261,00396.jpg,0,无,,,,,,
262,00397.jpg,0,无,,,,,,
263,00399.jpg,0,无,,,,,,
264,00400.jpg,0,无,,,,,,
265,00402.jpg,8,稻纵卷叶螟,1850,3187,1687,3012,2013,3362
266,00402.jpg,256,蟋蟀,3070,606,2767,314,3373,898
267,00404.jpg,0,无,,,,,,
268,00407.jpg,0,无,,,,,,
269,00408.jpg,0,无,,,,,,
270,00409.jpg,0,无,,,,,,
271,00411.jpg,9,白背飞虱,4723,2197,4680,2143,4766,2251
272,00416.jpg,10,褐飞虱属,1815,2522,1768,2485,1863,2559
273,00417.jpg,0,无,,,,,,
274,00418.jpg,7,二化螟,1717,2562,1628,2441,1807,2683
275,00419.jpg,0,无,,,,,,
276,00420.jpg,0,无,,,,,,
277,00421.jpg,0,无,,,,,,
278,00423.jpg,0,无,,,,,,
279,00425.jpg,156,八点灰灯蛾,3608,811,3198,298,4019,1324
280,00426.jpg,9,白背飞虱,1503,819,1452,787,1555,851
281,00427.jpg,10,褐飞虱属,2400,1888,2339,1812,2462,1965
282,00428.jpg,10,褐飞虱属,4473,1634,4427,1553,4519,1715
283,00429.jpg,0,无,,,,,,
284,00431.jpg,0,无,,,,,,
285,00433.jpg,10,褐飞虱属,2021,3590,1985,3558,2057,3623
286,00436.jpg,0,无,,,,,,
287,00438.jpg,6,大螟,4234,2684,4064,2435,4404,2933
288,00439.jpg,0,无,,,,,,
289,00440.jpg,8,稻纵卷叶螟,1657,3350,1543,3194,1772,3507
290,00440.jpg,402,瓜绢野螟,1428,2420,1185,2260,1671,2581
291,00442.jpg,0,无,,,,,,
292,00443.jpg,0,无,,,,,,
293,00448.jpg,0,无,,,,,,
294,00449.jpg,0,无,,,,,,
295,00456.jpg,0,无,,,,,,
296,00457.jpg,0,无,,,,,,
297,00458.jpg,0,无,,,,,,
298,00459.jpg,0,无,,,,,,
299,00460.jpg,156,八点灰灯蛾,3999,274,3576,6,4423,543
300,00460.jpg,256,蟋蟀,2857,1453,2385,1187,3329,1720
301,00461.jpg,10,褐飞虱属,603,2286,575,2225,631,2348
302,00463.jpg,7,二化螟,3927,2023,3753,1754,4101,2292
303,00464.jpg,0,无,,,,,,
304,00466.jpg,0,无,,,,,,
305,00469.jpg,6,大螟,3285,2291,3137,2067,3433,2516
306,00469.jpg,156,八点灰灯蛾,1765,119,1437,1,2094,238
307,00470.jpg,0,无,,,,,,
308,00471.jpg,0,无,,,,,,
309,00472.jpg,0,无,,,,,,
310,00475.jpg,0,无,,,,,,
311,00476.jpg,9,白背飞虱,2575,2156,2530,2101,2621,2212
312,00477.jpg,0,无,,,,,,
313,00479.jpg,0,无,,,,,,
314,00480.jpg,0,无,,,,,,
315,00483.jpg,0,无,,,,,,
316,00484.jpg,0,无,,,,,,
317,00486.jpg,0,无,,,,,,
318,00488.jpg,0,无,,,,,,
319,00489.jpg,0,无,,,,,,
320,00491.jpg,0,无,,,,,,
321,00492.jpg,0,无,,,,,,
322,00493.jpg,0,无,,,,,,
323,00496.jpg,0,无,,,,,,
324,00498.jpg,0,无,,,,,,
325,00499.jpg,0,无,,,,,,
326,00501.jpg,7,二化螟,4062,2793,3870,2596,4255,2991
327,00501.jpg,41,蝼蛄,4048,142,3650,0,4446,285
328,00501.jpg,156,八点灰灯蛾,2251,1301,1803,910,2699,1693
329,00501.jpg,256,蟋蟀,3390,842,3230,562,3550,1123
330,00501.jpg,402,瓜绢野螟,2964,1055,2636,749,3293,1362
331,00502.jpg,9,白背飞虱,1574,2796,1556,2741,1592,2852
332,00504.jpg,0,无,,,,,,
333,00505.jpg,0,无,,,,,,
334,00506.jpg,0,无,,,,,,
335,00507.jpg,0,无,,,,,,
336,00508.jpg,0,无,,,,,,
337,00509.jpg,0,无,,,,,,
338,00510.jpg,0,无,,,,,,
339,00513.jpg,0,无,,,,,,
340,00514.jpg,0,无,,,,,,
341,00515.jpg,0,无,,,,,,
342,00516.jpg,0,无,,,,,,
343,00517.jpg,0,无,,,,,,
344,00519.jpg,0,无,,,,,,
345,00520.jpg,0,无,,,,,,
346,00522.jpg,148,黄足猎蝽,1974,2477,1707,2306,2241,2648
347,00522.jpg,148,黄足猎蝽,1458,1984,1260,1651,1656,2318
348,00522.jpg,280,黄毒蛾,4501,247,4228,0,4774,494
349,00524.jpg,0,无,,,,,,
350,00525.jpg,0,无,,,,,,
351,00527.jpg,0,无,,,,,,
352,00529.jpg,6,大螟,1771,323,1621,85,1921,561
353,00529.jpg,480,石蛾,3893,922,3708,835,4079,1010
354,00530.jpg,0,无,,,,,,
355,00531.jpg,0,无,,,,,,
356,00532.jpg,105,粘虫,1405,3408,1114,3172,1697,3644
357,00533.jpg,0,无,,,,,,
358,00536.jpg,0,无,,,,,,
359,00537.jpg,0,无,,,,,,
360,00538.jpg,156,八点灰灯蛾,2600,2456,2205,2053,2995,2859
361,00538.jpg,280,黄毒蛾,1434,1980,1180,1699,1688,2262
362,00541.jpg,0,无,,,,,,
363,00543.jpg,7,二化螟,1808,51,1605,0,2011,102
364,00544.jpg,0,无,,,,,,
365,00545.jpg,0,无,,,,,,
366,00546.jpg,0,无,,,,,,
367,00547.jpg,0,无,,,,,,
368,00548.jpg,156,八点灰灯蛾,2601,562,2265,167,2937,957
369,00549.jpg,156,八点灰灯蛾,1456,1882,1085,1497,1827,2267
370,00549.jpg,156,八点灰灯蛾,2443,2742,2020,2312,2866,3172
371,00551.jpg,0,无,,,,,,
372,00553.jpg,0,无,,,,,,
373,00554.jpg,0,无,,,,,,
374,00557.jpg,280,黄毒蛾,1779,774,1586,556,1972,993
375,00558.jpg,105,粘虫,3802,3405,3474,3173,4131,3638
376,00558.jpg,148,黄足猎蝽,2022,1690,1849,1520,2196,1860
377,00558.jpg,148,黄足猎蝽,2143,1748,1836,1622,2450,1875
378,00559.jpg,9,白背飞虱,4003,2102,3963,2053,4044,2151
379,00560.jpg,10,褐飞虱属,3265,1162,3208,1119,3322,1205
380,00560.jpg,10,褐飞虱属,2845,242,2808,189,2882,295
381,00561.jpg,0,无,,,,,,
382,00563.jpg,0,无,,,,,,
383,00568.jpg,0,无,,,,,,
384,00569.jpg,0,无,,,,,,
385,00570.jpg,0,无,,,,,,
386,00571.jpg,7,二化螟,3621,596,3430,395,3812,798
387,00574.jpg,0,无,,,,,,
388,00575.jpg,0,无,,,,,,
389,00576.jpg,0,无,,,,,,
390,00577.jpg,0,无,,,,,,
391,00578.jpg,0,无,,,,,,
392,00584.jpg,0,无,,,,,,
393,00586.jpg,148,黄足猎蝽,2178,3472,1914,3321,2442,3624
394,00586.jpg,148,黄足猎蝽,3287,2916,3129,2676,3445,3157
395,00586.jpg,256,蟋蟀,3212,1334,2898,1120,3526,1548
396,00591.jpg,0,无,,,,,,
397,00592.jpg,0,无,,,,,,
398,00593.jpg,156,八点灰灯蛾,2084,3181,1430,2766,2739,3597
399,00593.jpg,156,八点灰灯蛾,1329,828,861,391,1797,1265
400,00593.jpg,156,八点灰灯蛾,2271,1835,1826,1391,2717,2280
401,00593.jpg,156,八点灰灯蛾,3962,117,3542,0,4383,234
402,00593.jpg,156,八点灰灯蛾,3578,1873,3157,1438,3999,2308
403,00593.jpg,156,八点灰灯蛾,2209,1262,1797,844,2621,1680
404,00594.jpg,9,白背飞虱,3235,444,3214,383,3257,506
405,00595.jpg,0,无,,,,,,
406,00598.jpg,0,无,,,,,,
407,00599.jpg,0,无,,,,,,
408,00600.jpg,0,无,,,,,,
409,00601.jpg,0,无,,,,,,
410,00602.jpg,10,褐飞虱属,3193,1715,3146,1650,3241,1780
411,00604.jpg,0,无,,,,,,
412,00608.jpg,0,无,,,,,,
413,00612.jpg,8,稻纵卷叶螟,2625,355,2460,202,2790,509
414,00614.jpg,0,无,,,,,,
415,00615.jpg,0,无,,,,,,
416,00616.jpg,0,无,,,,,,
417,00617.jpg,0,无,,,,,,
418,00618.jpg,0,无,,,,,,
419,00619.jpg,0,无,,,,,,
420,00620.jpg,10,褐飞虱属,1818,3095,1766,3061,1870,3130
421,00621.jpg,256,蟋蟀,1742,2311,1569,2010,1916,2612
422,00624.jpg,0,无,,,,,,
423,00626.jpg,0,无,,,,,,
424,00628.jpg,0,无,,,,,,
425,00630.jpg,0,无,,,,,,
426,00632.jpg,0,无,,,,,,
427,00633.jpg,0,无,,,,,,
428,00634.jpg,0,无,,,,,,
429,00636.jpg,0,无,,,,,,
430,00637.jpg,0,无,,,,,,
431,00638.jpg,41,蝼蛄,3551,2427,3082,2050,4020,2804
432,00638.jpg,148,黄足猎蝽,2541,3478,2279,3313,2804,3643
433,00638.jpg,156,八点灰灯蛾,1922,3270,1645,2900,2200,3640
434,00638.jpg,156,八点灰灯蛾,4800,3353,4409,3056,5192,3651
435,00638.jpg,156,八点灰灯蛾,3780,3171,3424,2862,4136,3480
436,00638.jpg,156,八点灰灯蛾,3832,625,3348,335,4316,916
437,00638.jpg,256,蟋蟀,2649,2349,2317,2109,2982,2589
438,00639.jpg,156,八点灰灯蛾,2233,3225,1796,2834,2670,3616
439,00640.jpg,0,无,,,,,,
440,00642.jpg,0,无,,,,,,
441,00646.jpg,156,八点灰灯蛾,4008,3488,3699,3329,4317,3647
442,00647.jpg,0,无,,,,,,
443,00648.jpg,10,褐飞虱属,1805,2267,1759,2230,1852,2304
444,00650.jpg,0,无,,,,,,
445,00652.jpg,0,无,,,,,,
446,00653.jpg,156,八点灰灯蛾,2848,3220,2582,2801,3114,3639
447,00653.jpg,156,八点灰灯蛾,3510,3200,3122,2819,3899,3581
448,00653.jpg,156,八点灰灯蛾,3349,731,2864,426,3835,1037
449,00654.jpg,0,无,,,,,,
450,00655.jpg,0,无,,,,,,
451,00657.jpg,9,白背飞虱,2157,307,2112,252,2203,363
452,00658.jpg,0,无,,,,,,
453,00659.jpg,0,无,,,,,,
454,00660.jpg,0,无,,,,,,
455,00662.jpg,0,无,,,,,,
456,00664.jpg,0,无,,,,,,
457,00665.jpg,0,无,,,,,,
458,00666.jpg,0,无,,,,,,
459,00668.jpg,0,无,,,,,,
460,00669.jpg,0,无,,,,,,
461,00670.jpg,0,无,,,,,,
462,00672.jpg,0,无,,,,,,
463,00673.jpg,0,无,,,,,,
464,00674.jpg,148,黄足猎蝽,3655,293,3380,147,3931,440
465,00674.jpg,148,黄足猎蝽,4304,2309,4109,2128,4500,2490
466,00674.jpg,148,黄足猎蝽,3964,164,3830,0,4099,329
467,00676.jpg,0,无,,,,,,
468,00678.jpg,0,无,,,,,,
469,00681.jpg,0,无,,,,,,
470,00683.jpg,0,无,,,,,,
471,00684.jpg,156,八点灰灯蛾,1662,3283,1267,2929,2057,3638
472,00684.jpg,156,八点灰灯蛾,3990,3234,3506,2871,4475,3598
473,00685.jpg,9,白背飞虱,4701,1414,4623,1381,4780,1447
474,00685.jpg,10,褐飞虱属,3724,1156,3690,1100,3759,1212
475,00686.jpg,0,无,,,,,,
476,00687.jpg,0,无,,,,,,
477,00689.jpg,148,黄足猎蝽,3133,2863,2852,2661,3415,3065
478,00691.jpg,0,无,,,,,,
479,00692.jpg,0,无,,,,,,
480,00694.jpg,6,大螟,3769,1700,3614,1476,3924,1924
481,00695.jpg,0,无,,,,,,
482,00697.jpg,0,无,,,,,,
483,00699.jpg,0,无,,,,,,
484,00700.jpg,10,褐飞虱属,1788,2945,1763,2894,1814,2996
485,00703.jpg,0,无,,,,,,
486,00706.jpg,0,无,,,,,,
487,00711.jpg,0,无,,,,,,
488,00712.jpg,0,无,,,,,,
489,00716.jpg,0,无,,,,,,
490,00717.jpg,0,无,,,,,,
491,00718.jpg,0,无,,,,,,
492,00720.jpg,10,褐飞虱属,3566,1333,3512,1307,3620,1360
493,00722.jpg,0,无,,,,,,
494,00727.jpg,0,无,,,,,,
495,00728.jpg,10,褐飞虱属,2995,741,2935,697,3056,785
496,00729.jpg,0,无,,,,,,
497,00731.jpg,0,无,,,,,,
498,00732.jpg,0,无,,,,,,
499,00735.jpg,0,无,,,,,,
500,00736.jpg,0,无,,,,,,
501,00739.jpg,0,无,,,,,,
502,00741.jpg,0,无,,,,,,
503,00742.jpg,0,无,,,,,,
504,00744.jpg,0,无,,,,,,
505,00746.jpg,0,无,,,,,,
506,00747.jpg,10,褐飞虱属,4422,2415,4395,2351,4450,2480
507,00748.jpg,0,无,,,,,,
508,00749.jpg,0,无,,,,,,
509,00750.jpg,7,二化螟,4522,774,4369,495,4675,1054
510,00752.jpg,0,无,,,,,,
511,00754.jpg,0,无,,,,,,
512,00755.jpg,115,甜菜夜蛾,2294,2255,2111,2037,2477,2474
513,00755.jpg,156,八点灰灯蛾,1578,1271,1163,839,1994,1704
514,00756.jpg,10,褐飞虱属,1816,3030,1772,2995,1861,3065
515,00757.jpg,0,无,,,,,,
516,00758.jpg,0,无,,,,,,
517,00760.jpg,10,褐飞虱属,1157,14,1112,0,1203,29
518,00761.jpg,0,无,,,,,,
519,00765.jpg,0,无,,,,,,
520,00766.jpg,156,八点灰灯蛾,2385,1464,1957,1119,2814,1809
521,00766.jpg,228,二点委夜蛾,2133,490,1902,316,2365,664
522,00767.jpg,156,八点灰灯蛾,3645,3035,3286,2662,4004,3409
523,00769.jpg,485,大黑鳃金龟,4713,2877,4450,2699,4976,3056
524,00770.jpg,0,无,,,,,,
525,00771.jpg,0,无,,,,,,
526,00772.jpg,10,褐飞虱属,1796,2482,1744,2449,1849,2516
527,00773.jpg,0,无,,,,,,
528,00775.jpg,0,无,,,,,,
529,00776.jpg,0,无,,,,,,
530,00777.jpg,10,褐飞虱属,1530,949,1445,910,1616,988
531,00780.jpg,9,白背飞虱,1729,1155,1678,1123,1781,1187
532,00781.jpg,228,二点委夜蛾,3865,3441,3671,3255,4059,3627
533,00783.jpg,0,无,,,,,,
534,00784.jpg,0,无,,,,,,
535,00790.jpg,0,无,,,,,,
536,00791.jpg,7,二化螟,4254,595,4014,422,4494,768
537,00791.jpg,10,褐飞虱属,3776,1069,3711,1038,3841,1100
538,00791.jpg,394,线委夜蛾,1866,511,1617,341,2116,681
539,00796.jpg,0,无,,,,,,
